`acidity,alcohol,body,classes,food_matching,grape,label2,name_en,name_ko,png,price,sweet,tanin,vintage,winery
3,14~15 %,3,화이트,"해산물,샐러드",샤르도네 (Chardonnay) ,조셉 칼  Joseph Carr,"Joseph Carr, Chardonnay","조셉 칼, 샤르도네",https://wine21.speedgabia.com/WINE_MST/TITLE/0168000/W0168059.png,"85,000원",1,1,2017,캘리포니아(California)
4,알콜정보없음,4,레드,추천 정보 없음,피노 누아 (Pinot Noir) ,데로쉐  DeLoach,"DeLoach, Russian River Valley Pinot Noir","데로쉐, 러시안 리버 밸리 피노누아",https://wine21.speedgabia.com/WINE_MST/TITLE/0168000/W0168058.png,"65,000원",1,3,2018,캘리포니아(California)
3,알콜정보없음,3,화이트,추천 정보 없음,샤르도네 (Chardonnay) ,데로쉐  DeLoach,"DeLoach, Russian River Valley Chardonnay","데로쉐, 러시안 리버 밸리 샤도네이",https://wine21.speedgabia.com/WINE_MST/TITLE/0168000/W0168057.png,가격정보없음,1,1,"NA, ",캘리포니아(California)
4,알콜정보없음,4,레드,추천 정보 없음,피노 누아 (Pinot Noir) ,데로쉐  DeLoach,"DeLoach, Estate Pinot Noir","데로쉐, 이스테이트 피노누아",https://wine21.speedgabia.com/WINE_MST/TITLE/0168000/W0168056.png,가격정보없음,1,3,2015,캘리포니아(California)
4,알콜정보없음,4,화이트,추천 정보 없음,샤르도네 (Chardonnay) ,데로쉐  DeLoach,"DeLoach, Heritage Reserve Chardonnay","데로쉐, 헤리티지 리저브 샤도네이",https://wine21.speedgabia.com/WINE_MST/TITLE/0168000/W0168055.png,가격정보없음,1,1,2019,캘리포니아(California)
4,알콜정보없음,4,레드,추천 정보 없음,피노 누아 (Pinot Noir) ,데로쉐  DeLoach,"DeLoach, Heritage Reserve Pinot Noir","데로쉐, 헤리티지 리저브 피노누아",https://wine21.speedgabia.com/WINE_MST/TITLE/0168000/W0168054.png,가격정보없음,1,2,2019,캘리포니아(California)
3,알콜정보없음,3,레드,추천 정보 없음,진판델 (Zinfandel) ,데로쉐  DeLoach,"DeLoach, Heritage Reserve Zinfandel","데로쉐, 헤리티지 리저브 진판델",https://wine21.speedgabia.com/WINE_MST/TITLE/0168000/W0168053.png,"25,000원",1,3,2019,캘리포니아(California)
3,알콜정보없음,3,레드,추천 정보 없음,카베르네 소비뇽 (Cabernet Sauvignon) ,데로쉐  DeLoach,"DeLoach, Heritage Reserve Cabernet Sauvignon","데로쉐, 헤리티지 리저브 까베르네 쇼비뇽   ",https://wine21.speedgabia.com/WINE_MST/TITLE/0168000/W0168052.png,"19,000원",1,3,2019,캘리포니아(California)
5,알콜정보없음,5,화이트,"치즈,샐러드",리슬링 (Riesling) ,조셉 까땅  Joseph Cattin,"Cattin, Libre Riesling","까땅, 리브레 리슬링",https://wine21.speedgabia.com/WINE_MST/TITLE/0168000/W0168051.png,"57,000원",1,1,2019,알자스(Alsace)
3,16~17 %,3,레드,"치즈,스튜",시라/쉬라즈 (Syrah/Shiraz) ,아센시오 까르쎌렌  Asensio Carcelen,"Asensio Carcelen, 100x100 Syrah","아센시오 까르쎌렌, 100x100 시라",https://wine21.speedgabia.com/WINE_MST/TITLE/0168000/W0168050.png,가격정보없음,1,3,2020,후미야(Jumilla)
3,14~15 %,3,레드,"치즈,가금류,돼지,샐러드",가르나차  (Garnacha) ,아그리꼴라 데 까달소  Agricola de Cadalso,"Agricola de Cadalso, Garnacha","아그리꼴라 데 까달소, 가르나차",https://wine21.speedgabia.com/WINE_MST/TITLE/0168000/W0168049.png,"30,000원",1,3,2017,비노스 데 마드리드(Vinos de Madrid)
4,12~13 %,4,화이트,"치즈,가금류",푸르민트 (Furmint) ,샤또 데레즐라  Chateau Dereszla,"Chateau Dereszla, Furmint Dry","샤또 데레즐라, 푸르민트 드라이",https://wine21.speedgabia.com/WINE_MST/TITLE/0168000/W0168048.png,"40,000원",1,1,2019,더 노스이스트(The Northeast)
3,15~16 %,3,레드,추천 정보 없음,메를로 (Merlot) ,데로쉐  DeLoach,"DeLoach, Heritage Reserve Merlot","데로쉐, 헤리티지 리저브 멀롯    ",https://wine21.speedgabia.com/WINE_MST/TITLE/0168000/W0168047.png,가격정보없음,1,3,2019,캘리포니아(California)
5,알콜정보없음,5,스파클링,추천 정보 없음,피노 누아 (Pinot Noir) ,떼땅져  Taittinger,"Taittinger, Les Folies de la Marquetterie","떼땅져, 레폴리",https://wine21.speedgabia.com/WINE_MST/TITLE/0168000/W0168046.png,"268,000원",1,1,"NV, ",샹파뉴(Champagne)
5,알콜정보없음,5,스파클링,"디저트,과일, 딸기",피노 누아 (Pinot Noir) ,지에이치멈  G.H.Mumm,"G.H.MUMM, Grand Cordon Rose","멈, 그랑 꼬르동 로제",https://wine21.speedgabia.com/WINE_MST/TITLE/0168000/W0168045.png,가격정보없음,1,1,"NV, ",샹파뉴(Champagne)
